,bikeid,checkout_time,duration_minutes,end_station_id,end_station_name,month,start_station_id,start_station_name,start_time,subscriber_type,trip_id,year,date,temp_high_F,temp_avg_F,temp_low_F,dew_point_high_F,dew_point_avg_F,dew_point_low_F,humidity_high_percent,humidity_avg_percent,humidity_low_percent,sea_level_pressure_high_inches,sea_level_pressure_avg_inches,sea_level_pressure_low_inches,visiblility_high_miles,visiblility_avg_miles,visiblility_low_miles,wind_high_MPH,wind_avg_MPH,wind_low_MPH,precipitaion_sum_inches,events
10,839.0,15:12:00,16,2563,Davis at Rainey Street,3,2504,South Congress & Elizabeth,15:12:00,7-Day,9900081936,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
11,822.0,23:12:00,22,2562,San Jacinto & 8th Street,3,2570,South Congress & Academy,23:12:00,Walk Up,9900083622,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
12,84.0,18:12:00,207,2498,Convention Center / 4th St. @ MetroRail,3,2498,Convention Center / 4th St. @ MetroRail,18:12:00,Walk Up,9900082755,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
13,435.0,2:12:00,20,2504,South Congress & Elizabeth,3,2495,4th & Congress,02:12:00,Local365,9900080819,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
14,321.0,23:12:00,7,2563,Davis at Rainey Street,3,2562,San Jacinto & 8th Street,23:12:00,Walk Up,9900083669,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
15,8.0,17:12:00,14,2575,Riverside @ S. Lamar,3,2504,South Congress & Elizabeth,17:12:00,Walk Up,9900082457,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
16,996.0,12:12:00,11,2502,Barton Springs & Riverside,3,2712,Toomey Rd @ South Lamar,12:12:00,Walk Up,9900081218,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
17,999.0,22:12:00,6,2498,Convention Center / 4th St. @ MetroRail,3,2536,Waller & 6th St.,22:12:00,Walk Up,9900083507,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
18,852.0,1:12:00,11,2566,Pfluger Bridge @ W 2nd Street,3,2498,Convention Center / 4th St. @ MetroRail,01:12:00,7-Day,9900080768,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
19,417.0,14:12:00,31,2536,Waller & 6th St.,3,2504,South Congress & Elizabeth,14:12:00,Walk Up,9900081608,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
20,407.0,18:12:00,16,2570,South Congress & Academy,3,2495,4th & Congress,18:12:00,Walk Up,9900082813,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
21,26.0,11:12:00,15,2501,5th & Bowie,3,2567,Palmer Auditorium,11:12:00,Walk Up,9900081048,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
22,287.0,2:12:00,11,2552,3rd & West,3,2494,2nd & Congress,02:12:00,Walk Up,9900080824,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
23,517.0,14:12:00,12,2564,5th & San Marcos,3,2823,Capital Metro HQ - East 5th at Broadway,14:12:00,Walk Up,9900081604,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
24,213.0,15:12:00,24,2542,Plaza Saltillo,3,2501,5th & Bowie,15:12:00,7-Day,9900081839,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
25,728.0,12:12:00,21,2542,Plaza Saltillo,3,2539,Convention Center / 3rd & Trinity,12:12:00,Walk Up,9900081234,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
26,41.0,16:12:00,21,2536,Waller & 6th St.,3,2822,East 6th at Robert Martinez,16:12:00,7-Day,9900082214,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
27,774.0,16:12:00,164,2707,Rainey St @ Cummings,3,2539,Convention Center / 3rd & Trinity,16:12:00,Walk Up,9900082179,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
28,411.0,21:12:00,5,2498,Convention Center / 4th St. @ MetroRail,3,2562,San Jacinto & 8th Street,21:12:00,Walk Up,9900083419,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
29,78.0,12:12:00,20,2539,Convention Center / 3rd & Trinity,3,2501,5th & Bowie,12:12:00,Walk Up,9900081226,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
30,974.0,13:12:00,8,2537,West & 6th St.,3,2571,Red River & 8th Street,13:12:00,7-Day,9900081535,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
31,660.0,0:12:00,21,2504,South Congress & Elizabeth,3,2498,Convention Center / 4th St. @ MetroRail,00:12:00,Walk Up,9900080752,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
32,117.0,14:12:00,12,2564,5th & San Marcos,3,2563,Davis at Rainey Street,14:12:00,Walk Up,9900081738,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
33,183.0,21:12:00,14,2571,Red River & 8th Street,3,2571,Red River & 8th Street,21:12:00,Walk Up,9900083367,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
34,442.0,14:12:00,14,2536,Waller & 6th St.,3,2565,Trinity & 6th Street,14:12:00,Walk Up,9900081625,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
35,360.0,12:12:00,18,2565,Trinity & 6th Street,3,2544,East 6th & Pedernales St.,12:12:00,Walk Up,9900081238,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
36,387.0,15:12:00,16,2550,Republic Square @ Guadalupe & 4th St.,3,2563,Davis at Rainey Street,15:12:00,Local30,9900082022,2015,2015-03-19,83,73,63,66,64,61,100,79,58,30,29.95,29.88,10,8,2,12,5,17,0, 
37,208.0,16:51:25,182,3390,Brazos & 6th,10,3513,South Congress & Barton Springs at the Austin American-Statesman,16:51:25,Walk Up,12624172,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
38,655.0,13:50:21,21,2499,City Hall / Lavaca & 2nd,10,2574,Zilker Park,13:50:21,Walk Up,12621643,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
39,420.0,6:40:49,8,2563,Davis at Rainey Street,10,3291,11th & San Jacinto,06:40:49,Local365,12617928,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
40,862.0,12:11:04,78,3377,MoPac Pedestrian Bridge @ Veterans Drive,10,3377,MoPac Pedestrian Bridge @ Veterans Drive,12:11:04,Walk Up,12620366,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
41,911.0,20:23:10,17,2570,South Congress & Academy,10,2566,Pfluger Bridge @ W 2nd Street,20:23:10,Walk Up,12626114,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
42,925.0,15:38:41,26,2707,Rainey St @ Cummings,10,3377,MoPac Pedestrian Bridge @ Veterans Drive,15:38:41,Walk Up,12623156,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
43,356.0,19:56:53,11,2549,Long Center @ South 1st & Riverside,10,2496,8th & Congress,19:56:53,Walk Up,12625996,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
44,242.0,11:56:22,498,3291,11th & San Jacinto,10,2496,8th & Congress,11:56:22,Walk Up,12620152,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
45,86.0,23:47:09,38,3390,Brazos & 6th,10,3390,Brazos & 6th,23:47:09,Walk Up,12626709,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
46,116.0,12:05:17,27,3291,11th & San Jacinto,10,2566,Pfluger Bridge @ W 2nd Street,12:05:17,Walk Up,12620290,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
47,554.0,19:25:02,20,2494,2nd & Congress,10,3513,South Congress & Barton Springs at the Austin American-Statesman,19:25:02,Walk Up,12625812,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
48,398.0,15:08:17,9,2711,Barton Springs @ Kinney Ave,10,2537,West & 6th St.,15:08:17,Local365,12622777,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
49,749.0,17:08:36,10,2497,Capitol Station / Congress & 11th,10,2494,2nd & Congress,17:08:36,Walk Up,12624442,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
50,924.0,9:50:24,19,2498,Convention Center / 4th St. @ MetroRail,10,2504,South Congress & Elizabeth,09:50:24,Walk Up,12618890,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
51,93.0,1:20:03,61,2547,Guadalupe & 21st,10,2497,Capitol Station / Congress & 11th,01:20:03,Walk Up,12617622,2016,2016-10-30,87,76,65,67,63,54,100,67,34,30.18,30.11,30.07,10,10,8,10,2,14,0, 
52,164.0,9:03:48,10,2572,Barton Springs Pool,3,3377,MoPac Pedestrian Bridge @ Veterans Drive,09:03:48,Local365,9067021,2016,2016-03-11,71,65,59,63,61,57,100,87,73,29.97,29.93,29.87,10,7,2,9,3,15,0.36,"Rain , Thunderstorm"
53,800.0,8:38:25,12,2565,Trinity & 6th Street,3,2538,Bullock Museum @ Congress & MLK,08:38:25,Walk Up,9066812,2016,2016-03-11,71,65,59,63,61,57,100,87,73,29.97,29.93,29.87,10,7,2,9,3,15,0.36,"Rain , Thunderstorm"
54,230.0,13:28:41,18,2569,East 11th St. & San Marcos,3,2497,Capitol Station / Congress & 11th,13:28:41,Local30,9070739,2016,2016-03-11,71,65,59,63,61,57,100,87,73,29.97,29.93,29.87,10,7,2,9,3,15,0.36,"Rain , Thunderstorm"
55,517.0,19:02:25,10,2495,4th & Congress,3,3390,Brazos & 6th,19:02:25,Walk Up,9077853,2016,2016-03-11,71,65,59,63,61,57,100,87,73,29.97,29.93,29.87,10,7,2,9,3,15,0.36,"Rain , Thunderstorm"
56,113.0,14:23:00,12,2536,Waller & 6th St.,3,2565,Trinity & 6th Street,14:23:00,Walk Up,9071998,2016,2016-03-11,71,65,59,63,61,57,100,87,73,29.97,29.93,29.87,10,7,2,9,3,15,0.36,"Rain , Thunderstorm"
57,221.0,18:03:12,14,2574,Zilker Park,3,2550,Republic Square @ Guadalupe & 4th St.,18:03:12,Local365,9077151,2016,2016-03-11,71,65,59,63,61,57,100,87,73,29.97,29.93,29.87,10,7,2,9,3,15,0.36,"Rain , Thunderstorm"
58,452.0,16:48:02,33,2572,Barton Springs Pool,3,3377,MoPac Pedestrian Bridge @ Veterans Drive,16:48:02,Walk Up,9075826,2016,2016-03-11,71,65,59,63,61,57,100,87,73,29.97,29.93,29.87,10,7,2,9,3,15,0.36,"Rain , Thunderstorm"
59,425.0,20:28:05,18,2539,Convention Center / 3rd & Trinity,3,2548,UT West Mall @ Guadalupe,20:28:05,Walk Up,9078357,2016,2016-03-11,71,65,59,63,61,57,100,87,73,29.97,29.93,29.87,10,7,2,9,3,15,0.36,"Rain , Thunderstorm"
60,759.0,8:29:00,6,2499,City Hall / Lavaca & 2nd,3,2498,Convention Center / 4th St. @ MetroRail,08:29:00,Local365,9066720,2016,2016-03-11,71,65,59,63,61,57,100,87,73,29.97,29.93,29.87,10,7,2,9,3,15,0.36,"Rain , Thunderstorm"
61,30.0,19:12:00,4,2550,Republic Square @ Guadalupe & 4th St.,11,2501,5th & Bowie,19:12:00,Annual Membership (Austin B-cycle),9900319434,2014,2014-11-23,81,67,53,57,48,39,100,62,23,29.84,29.64,29.51,10,10,10,16,5,27,0, 
62,998.0,20:12:00,55,2568,East 11th St. at Victory Grill,11,2568,East 11th St. at Victory Grill,20:12:00,24-Hour Kiosk (Austin B-cycle),9900319462,2014,2014-11-23,81,67,53,57,48,39,100,62,23,29.84,29.64,29.51,10,10,10,16,5,27,0, 
63,974.0,15:12:00,10,2502,Barton Springs & Riverside,11,2497,Capitol Station / Congress & 11th,15:12:00,24-Hour Kiosk (Austin B-cycle),9900319255,2014,2014-11-23,81,67,53,57,48,39,100,62,23,29.84,29.64,29.51,10,10,10,16,5,27,0, 
64,765.0,9:40:40,36,2707,Rainey St @ Cummings,4,2575,Riverside @ S. Lamar,09:40:40,Walk Up,14463736,2017,2017-04-16,84,77,69,68,66,65,90,73,55,30.06,30.01,29.95,10,10,10,14,6,21,0, 
65,963.0,11:34:35,43,3377,MoPac Pedestrian Bridge @ Veterans Drive,4,2574,Zilker Park,11:34:35,Explorer,14464970,2017,2017-04-16,84,77,69,68,66,65,90,73,55,30.06,30.01,29.95,10,10,10,14,6,21,0, 
66,354.0,23:42:04,108,2494,2nd & Congress,4,2494,2nd & Congress,23:42:04,Weekender,14472876,2017,2017-04-16,84,77,69,68,66,65,90,73,55,30.06,30.01,29.95,10,10,10,14,6,21,0, 
67,410.0,12:09:13,30,2497,Capitol Station / Congress & 11th,4,2575,Riverside @ S. Lamar,12:09:13,Walk Up,14465423,2017,2017-04-16,84,77,69,68,66,65,90,73,55,30.06,30.01,29.95,10,10,10,14,6,21,0, 
68,571.0,10:46:57,10,2711,Barton Springs @ Kinney Ave,4,2502,Barton Springs & Riverside,10:46:57,Weekender,14464348,2017,2017-04-16,84,77,69,68,66,65,90,73,55,30.06,30.01,29.95,10,10,10,14,6,21,0, 
69,285.0,15:34:33,47,2574,Zilker Park,4,2563,Davis at Rainey Street,15:34:33,Weekender,14468503,2017,2017-04-16,84,77,69,68,66,65,90,73,55,30.06,30.01,29.95,10,10,10,14,6,21,0, 
70,79.0,22:05:19,38,2566,Pfluger Bridge @ W 2nd Street,4,2499,City Hall / Lavaca & 2nd,22:05:19,Walk Up,14472672,2017,2017-04-16,84,77,69,68,66,65,90,73,55,30.06,30.01,29.95,10,10,10,14,6,21,0, 
71,746.0,10:36:38,0,2495,4th & Congress,4,2495,4th & Congress,10:36:38,Walk Up,14464230,2017,2017-04-16,84,77,69,68,66,65,90,73,55,30.06,30.01,29.95,10,10,10,14,6,21,0, 
72,558.0,14:12:00,26,2541,State Capitol @ 14th & Colorado,5,2569,East 11th St. & San Marcos,14:12:00,Walk Up,9900153255,2015,2015-05-29,89,77,64,73,66,63,100,76,51,30.03,29.95,29.81,10,8,1,21,5,33,0.67,"Rain , Thunderstorm"
73,896.0,11:12:00,21,2497,Capitol Station / Congress & 11th,5,2566,Pfluger Bridge @ W 2nd Street,11:12:00,Walk Up,9900153109,2015,2015-05-29,89,77,64,73,66,63,100,76,51,30.03,29.95,29.81,10,8,1,21,5,33,0.67,"Rain , Thunderstorm"
74,589.0,9:12:00,25,2569,East 11th St. & San Marcos,5,2567,Palmer Auditorium,09:12:00,Walk Up,9900153048,2015,2015-05-29,89,77,64,73,66,63,100,76,51,30.03,29.95,29.81,10,8,1,21,5,33,0.67,"Rain , Thunderstorm"
75,827.0,13:12:00,27,2501,5th & Bowie,5,2537,West & 6th St.,13:12:00,Walk Up,9900153235,2015,2015-05-29,89,77,64,73,66,63,100,76,51,30.03,29.95,29.81,10,8,1,21,5,33,0.67,"Rain , Thunderstorm"
76,928.0,17:12:00,28,2497,Capitol Station / Congress & 11th,5,2502,Barton Springs & Riverside,17:12:00,Walk Up,9900153436,2015,2015-05-29,89,77,64,73,66,63,100,76,51,30.03,29.95,29.81,10,8,1,21,5,33,0.67,"Rain , Thunderstorm"
77,680.0,10:12:00,13,2537,West & 6th St.,5,2707,Rainey St @ Cummings,10:12:00,Local365,9900153070,2015,2015-05-29,89,77,64,73,66,63,100,76,51,30.03,29.95,29.81,10,8,1,21,5,33,0.67,"Rain , Thunderstorm"
78,558.0,15:12:00,29,2537,West & 6th St.,5,2541,State Capitol @ 14th & Colorado,15:12:00,Local30,9900153344,2015,2015-05-29,89,77,64,73,66,63,100,76,51,30.03,29.95,29.81,10,8,1,21,5,33,0.67,"Rain , Thunderstorm"
79,80.0,19:12:00,2,2569,East 11th St. & San Marcos,5,2568,East 11th St. at Victory Grill,19:12:00,Local30,9900153508,2015,2015-05-29,89,77,64,73,66,63,100,76,51,30.03,29.95,29.81,10,8,1,21,5,33,0.67,"Rain , Thunderstorm"
80,284.0,16:12:00,27,2538,Bullock Museum @ Congress & MLK,5,2503,South Congress & James,16:12:00,Walk Up,9900153398,2015,2015-05-29,89,77,64,73,66,63,100,76,51,30.03,29.95,29.81,10,8,1,21,5,33,0.67,"Rain , Thunderstorm"
81,751.0,12:47:26,14,3377,MoPac Pedestrian Bridge @ Veterans Drive,7,2575,Riverside @ S. Lamar,12:47:26,Walk Up,11115273,2016,2016-07-26,93,84,75,77,75,71,100,76,52,29.98,29.93,29.87,10,7,1,9,2,17,0.08,"Rain , Thunderstorm"
82,843.0,16:40:26,8,2498,Convention Center / 4th St. @ MetroRail,7,2501,5th & Bowie,16:40:26,Local30,11118700,2016,2016-07-26,93,84,75,77,75,71,100,76,52,29.98,29.93,29.87,10,7,1,9,2,17,0.08,"Rain , Thunderstorm"
83,541.0,10:47:26,31,3377,MoPac Pedestrian Bridge @ Veterans Drive,7,3377,MoPac Pedestrian Bridge @ Veterans Drive,10:47:26,Walk Up,11113754,2016,2016-07-26,93,84,75,77,75,71,100,76,52,29.98,29.93,29.87,10,7,1,9,2,17,0.08,"Rain , Thunderstorm"
84,484.0,17:02:46,7,2542,Plaza Saltillo,7,2823,Capital Metro HQ - East 5th at Broadway,17:02:46,Local365,11119187,2016,2016-07-26,93,84,75,77,75,71,100,76,52,29.98,29.93,29.87,10,7,1,9,2,17,0.08,"Rain , Thunderstorm"
85,26.0,16:43:45,70,1007,Lavaca & 6th,7,2547,Guadalupe & 21st,16:43:45,Walk Up,11118776,2016,2016-07-26,93,84,75,77,75,71,100,76,52,29.98,29.93,29.87,10,7,1,9,2,17,0.08,"Rain , Thunderstorm"
86,195.0,19:05:54,7,2502,Barton Springs & Riverside,7,2570,South Congress & Academy,19:05:54,Local365,11122584,2016,2016-07-26,93,84,75,77,75,71,100,76,52,29.98,29.93,29.87,10,7,1,9,2,17,0.08,"Rain , Thunderstorm"
87,685.0,19:02:53,8,2567,Palmer Auditorium,7,2501,5th & Bowie,19:02:53,Local365,11122511,2016,2016-07-26,93,84,75,77,75,71,100,76,52,29.98,29.93,29.87,10,7,1,9,2,17,0.08,"Rain , Thunderstorm"
88,116.0,13:48:44,15,3390,Brazos & 6th,7,2823,Capital Metro HQ - East 5th at Broadway,13:48:44,Walk Up,11116180,2016,2016-07-26,93,84,75,77,75,71,100,76,52,29.98,29.93,29.87,10,7,1,9,2,17,0.08,"Rain , Thunderstorm"
89,934.0,11:12:00,11,2537,West & 6th St.,5,1002,6th & Navasota St.,11:12:00,24-Hour Kiosk (Austin B-cycle),9900126836,2014,2014-05-05,92,76,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,0, 
90,198.0,22:12:00,24,2571,Red River & 8th Street,5,2503,South Congress & James,22:12:00,24-Hour Kiosk (Austin B-cycle),9900127132,2014,2014-05-05,92,76,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,0, 
91,983.0,14:12:00,2,2499,City Hall / Lavaca & 2nd,5,2499,City Hall / Lavaca & 2nd,14:12:00,Annual Membership (Austin B-cycle),9900126939,2014,2014-05-05,92,76,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,0, 
92,435.0,13:12:00,33,2572,Barton Springs Pool,5,2575,Riverside @ S. Lamar,13:12:00,Annual Membership (Austin B-cycle),9900126914,2014,2014-05-05,92,76,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,0, 
93,511.0,11:12:00,58,2572,Barton Springs Pool,5,1002,6th & Navasota St.,11:12:00,24-Hour Kiosk (Austin B-cycle),9900126833,2014,2014-05-05,92,76,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,0, 
94,370.0,20:12:00,13,2565,Trinity & 6th Street,5,2565,Trinity & 6th Street,20:12:00,24-Hour Kiosk (Austin B-cycle),9900127106,2014,2014-05-05,92,76,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,0, 
95,979.0,7:12:00,11,2501,5th & Bowie,5,2497,Capitol Station / Congress & 11th,07:12:00,24-Hour Kiosk (Austin B-cycle),9900126736,2014,2014-05-05,92,76,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,0, 
96,232.0,8:12:00,3,2550,Republic Square @ Guadalupe & 4th St.,5,2498,Convention Center / 4th St. @ MetroRail,08:12:00,Annual Membership (Austin B-cycle),9900126760,2014,2014-05-05,92,76,60,59,56,44,90,61,32,30.01,29.91,29.79,10,10,10,16,8,27,0, 
97,439.0,18:12:00,10,2501,5th & Bowie,3,2567,Palmer Auditorium,18:12:00,Annual Membership (Austin B-cycle),9900051407,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
98,528.0,23:12:00,7,2571,Red River & 8th Street,3,2565,Trinity & 6th Street,23:12:00,24-Hour Kiosk (Austin B-cycle),9900052317,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
99,920.0,22:12:00,51,2503,South Congress & James,3,2503,South Congress & James,22:12:00,24-Hour Kiosk (Austin B-cycle),9900052156,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
100,551.0,21:12:00,16,2542,Plaza Saltillo,3,2495,4th & Congress,21:12:00,24-Hour Kiosk (Austin B-cycle),9900051958,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
101,19.0,20:12:00,19,2563,Davis at Rainey Street,3,2575,Riverside @ S. Lamar,20:12:00,24-Hour Kiosk (Austin B-cycle),9900051807,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
102,397.0,19:12:00,20,2542,Plaza Saltillo,3,2549,Long Center @ South 1st & Riverside,19:12:00,24-Hour Kiosk (Austin B-cycle),9900051507,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
103,219.0,13:12:00,11,2496,8th & Congress,3,2567,Palmer Auditorium,13:12:00,24-Hour-Online (Austin B-cycle),9900050160,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
104,110.0,16:12:00,19,2564,5th & San Marcos,3,2552,3rd & West,16:12:00,24-Hour Kiosk (Austin B-cycle),9900050889,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
105,774.0,18:12:00,0,2562,San Jacinto & 8th Street,3,2562,San Jacinto & 8th Street,18:12:00,24-Hour Kiosk (Austin B-cycle),9900051373,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
106,956.0,12:12:00,65,2498,Convention Center / 4th St. @ MetroRail,3,2498,Convention Center / 4th St. @ MetroRail,12:12:00,24-Hour Kiosk (Austin B-cycle),9900050009,2014,2014-03-14,75,62,49,59,51,43,86,68,49,30.11,30.04,29.95,10,10,10,13,5,24,0, 
